"id","debut_validite","fin_validite","cout_fret_maxi","cout_fret_mini"
"frph_parametre_calcul_1","01/01/1950","11/12/2007","47.5",41
"frph_parametre_calcul_2","12/12/2007","30/01/2009","55.5",48
"frph_parametre_calcul_3","31/01/2009","30/01/2010","56.6100006103516","48.9599990844727"
"frph_parametre_calcul_4","31/01/2010","30/01/2011","57.7400016784668","49.939998626709"
"frph_parametre_calcul_5","31/01/2011","30/01/2012","58.9000015258789","50.939998626709"
"frph_parametre_calcul_6","31/01/2012","30/01/2013","60.0699996948242","51.9599990844727"
"frph_parametre_calcul_7","31/01/2013","30/01/2014","61.2799987792969",53
"frph_parametre_calcul_8","31/01/2014","30/01/2015","62.5","54.060001373291"
"frph_parametre_calcul_9","31/01/2015","30/01/2016","63.7599983215332","55.1399993896484"
"frph_parametre_calcul_10","31/01/2016","30/01/2017","65.0299987792969","56.2400016784668"
