"id","name","email_ad_pro","afis","balisage","email_perso","iata","aerodrome","country_id/id","type_aerodrome_id/id","apt_oaci","apt_nom","apt_pays/id"
"manureva.manureva_aerodrome_nthe","NTHE","False",,"False",,"AHE","AHE","base.pf","manureva.manureva_type_aerodrome_tous","NTHE","AHE","base.pf"
"manureva.manureva_aerodrome_ncai","NCAI","False",,"False",,,"AITUTAKI","base.ck","__export__.manureva_type_aerodrome_9_22f89bca","NCAI","AITUTAKI","base.pf"
"manureva.manureva_aerodrome_ntga","NTGA","False",,"False",,"AAA","ANAA","base.pf","manureva.manureva_type_aerodrome_tous","NTGA","ANAA","base.pf"
"manureva.manureva_aerodrome_ntgd","NTGD","False",,"False",,"APK","APATAKI","base.pf","manureva.manureva_type_aerodrome_tous","NTGD","APATAKI","base.pf"
"manureva.manureva_aerodrome_ntkk","NTKK","False",,"False",,"RKA","ARATIKA Nord","base.pf","manureva.manureva_type_aerodrome_tous","NTKK","ARATIKA Nord","base.pf"
"manureva.manureva_aerodrome_ntgu","NTGU","False","Afis","False","maialphonse987@gmail.com","AXR","ARUTUA","base.pf","manureva.manureva_type_aerodrome_tous","NTGU","ARUTUA","base.pf"
"manureva.manureva_aerodrome_nttb","NTTB","False",,"False",,"BOB","BORA BORA","base.pf","manureva.manureva_type_aerodrome_etat","NTTB","BORA BORA","base.pf"
"manureva.manureva_aerodrome_ntkf","NTKF","False",,"False",,"FAC","FAAITE","base.pf","manureva.manureva_type_aerodrome_tous","NTKF","FAAITE","base.pf"
"manureva.manureva_aerodrome_ntkh","NTKH","False",,"False",,"FHZ","FAKAHINA","base.pf","manureva.manureva_type_aerodrome_tous","NTKH","FAKAHINA","base.pf"
"manureva.manureva_aerodrome_ntgf","NTGF","True","Afis","True","fakarava.aerodrome@mail.pf","FAV","FAKARAVA","base.pf","manureva.manureva_type_aerodrome_tous","NTGF","FAKARAVA","base.pf"
"manureva.manureva_aerodrome_ntgb","NTGB","False",,"False",,"FGU","FANGATAU","base.pf","manureva.manureva_type_aerodrome_tous","NTGB","FANGATAU","base.pf"
"manureva.manureva_aerodrome_ntto","NTTO","True","Afis","True","hao.aerodrome@mail.pf","HOI","HAO","base.pf","manureva.manureva_type_aerodrome_tous","NTTO","HAO","base.pf"
"manureva.manureva_aerodrome_ntgh","NTGH","False",,"False",,"HHZ","HIKUERU","base.pf","manureva.manureva_type_aerodrome_tous","NTGH","HIKUERU","base.pf"
"manureva.manureva_aerodrome_ntmn","NTMN","True","Afis","False","hivaoa.aerodrome@mail.pf","AUQ","HIVA OA","base.pf","manureva.manureva_type_aerodrome_tous","NTMN","HIVA OA","base.pf"
"manureva.manureva_aerodrome_ntth","NTTH","True","Afis","True","huahine.aerodrome@mail.pf","HUH","HUAHINE","base.pf","manureva.manureva_type_aerodrome_huh","NTTH","HUAHINE","base.pf"
"manureva.manureva_aerodrome_ntkt","NTKT","False",,"False",,"KXU","KATIU","base.pf","manureva.manureva_type_aerodrome_tous","NTKT","KATIU","base.pf"
"manureva.manureva_aerodrome_ntka","NTKA","False",,"False",,"KHZ","KAUEHI","base.pf","manureva.manureva_type_aerodrome_tous","NTKA","KAUEHI","base.pf"
"manureva.manureva_aerodrome_ntgk","NTGK","False","Afis","False",,"KKR","KAUKURA","base.pf","manureva.manureva_type_aerodrome_tous","NTGK","KAUKURA","base.pf"
"manureva.manureva_aerodrome_ntgm","NTGM","False","Afis","False","pitokemo@hotmail.fr","MKP","MAKEMO","base.pf","manureva.manureva_type_aerodrome_tous","NTGM","MAKEMO","base.pf"
