"id","avec_correction","base","coefficient","correction","domestique","debut","fin","mmd_inf","mmd_sup","type_aerodrome_id/id"
"manureva.manureva_param_att_tous_0","False","165.0","0.0","0.0","True","2000-01-01","2099-12-31","0.0","2.0","manureva.manureva_type_aerodrome_tous"
"manureva.manureva_param_att_tous_2","True","165.0","83.0","2.0","True","2000-01-01","2099-12-31","2.0","6.0","manureva.manureva_type_aerodrome_tous"
"manureva.manureva_param_att_tous_6","True","497.0","180.0","6.0","True","2000-01-01","2099-12-31","6.0","25.0","manureva.manureva_type_aerodrome_tous"
"manureva.manureva_param_att_tous_25","True","2614.0","297.0","25.0","True","2000-01-01","2099-12-31","25.0","75.0","manureva.manureva_type_aerodrome_tous"
"manureva.manureva_param_att_tous_75","True","17464.0","371.0","75.0","True","2000-01-01","2099-12-31","75.0","0.0","manureva.manureva_type_aerodrome_tous"
"manureva.manureva_param_att_moz_0","False","241.0","0.0","0.0","True","2000-01-01","2099-12-31","0.0","2.0","manureva.manureva_type_aerodrome_moz"
"manureva.manureva_param_att_moz_2","True","241.0","120.0","2.0","True","2000-01-01","2099-12-31","2.0","6.0","manureva.manureva_type_aerodrome_moz"
"manureva.manureva_param_att_moz_6","True","721.0","261.0","6.0","True","2000-01-01","2099-12-31","6.0","25.0","manureva.manureva_type_aerodrome_moz"
"manureva.manureva_param_att_moz_25","True","2614.0","297.0","25.0","True","2000-01-01","2099-12-31","25.0","75.0","manureva.manureva_type_aerodrome_moz"
"manureva.manureva_param_att_moz_75","True","17464.0","371.0","75.0","True","2000-01-01","2099-12-31","75.0","0.0","manureva.manureva_type_aerodrome_moz"
"manureva.manureva_param_att_etat_0","False","165.0","0.0","0.0","True","2000-01-01","2099-12-31","0.0","2.0","manureva.manureva_type_aerodrome_etat"
"manureva.manureva_param_att_etat_2","True","110.0","56.0","2.0","True","2000-01-01","2099-12-31","2.0","6.0","manureva.manureva_type_aerodrome_etat"
"manureva.manureva_param_att_etat_6","True","334.0","120.0","6.0","True","2000-01-01","2099-12-31","6.0","25.0","manureva.manureva_type_aerodrome_etat"
"manureva.manureva_param_att_etat_25","True","2614.0","297.0","25.0","True","2000-01-01","2099-12-31","25.0","75.0","manureva.manureva_type_aerodrome_etat"
"manureva.manureva_param_att_etat_75","True","17464.0","371.0","75.0","True","2000-01-01","2099-12-31","75.0","0.0","manureva.manureva_type_aerodrome_etat"
"manureva.manureva_param_att_huh_0","False","241.0","0.0","0.0","True","2000-01-01","2099-12-31","0.0","2.0","manureva.manureva_type_aerodrome_huh"
"manureva.manureva_param_att_huh_2","True","241.0","120.0","2.0","True","2000-01-01","2099-12-31","2.0","6.0","manureva.manureva_type_aerodrome_huh"
"manureva.manureva_param_att_huh_6","True","721.0","261.0","6.0","True","2000-01-01","2099-12-31","6.0","25.0","manureva.manureva_type_aerodrome_huh"
"manureva.manureva_param_att_huh_25","True","2614.0","297.0","25.0","True","2000-01-01","2099-12-31","25.0","75.0","manureva.manureva_type_aerodrome_huh"
"manureva.manureva_param_att_huh_75","True","17464.0","371.0","75.0","True","2000-01-01","2099-12-31","75.0","0.0","manureva.manureva_type_aerodrome_huh"
