"id","name","a_facturer"
"__export__.manureva_type_aerodrome_10_549c95b5","Hydrosurface","False"
"__export__.manureva_type_aerodrome_8_163a8caf","Hélisurface","False"
"__export__.manureva_type_aerodrome_9_22f89bca","International","False"
"manureva.manureva_type_aerodrome_cook","Cook","False"
"manureva.manureva_type_aerodrome_etat","Etat","False"
"manureva.manureva_type_aerodrome_huh","HUH","True"
"manureva.manureva_type_aerodrome_mili","Militaire","False"
"manureva.manureva_type_aerodrome_moz","MOZ","True"
"manureva.manureva_type_aerodrome_priv","Privé","False"
"manureva.manureva_type_aerodrome_tous","Tous","True"
