"id","industry_id/id","street2","street","phone","mobile","zip","city","city_id/id","company_type","customer","country_id/id","company_id/id","name","email","is_company","category_id/id","ape_id/id","parent_id/id","pobox","fax","initials","employee","function","type"
"res_partner_197160","rers_partner_industry_c25",,"BP 6485",40850904,,98702,"FAAA","l10n_pf_city.res_city_pf_98702_faaa","company","True","base.pf","base.main_company","Air Caledonie International",,"True","l10n_fr_naf_ape.naf_51_10Z","l10n_fr_naf_ape.naf_51_10Z",,,,,,,
"res_partner_23598","rers_partner_industry_c23","BP 314","Service Comptabilité",40864000,,98713,"PAPEETE","l10n_pf_city.res_city_pf_98713_papeete","company","True","base.pf","base.main_company","VTA","vincent.yuhing@airtahiti.pf","True","l10n_fr_naf_ape.naf_51_10Z","l10n_fr_naf_ape.naf_51_10Z",,,,,,,
"res_partner_283143","rers_partner_industry_c23",,"BP 1964",40481211,,98713,"PAPEETE","l10n_pf_city.res_city_pf_98713_papeete","company","True","base.pf","base.main_company","Piccot Henri",,"True",,,,,,,,,
"res_partner_288886","rers_partner_industry_c23",,"BP 1358",40452545,87777856,98713,"PAPEETE","l10n_pf_city.res_city_pf_98713_papeete","company","True","base.pf","base.main_company","Jarreau Dominique",,"True",,,,,,,,,
"res_partner_348755","rers_partner_industry_c23",,"BP 197",40420375,87776141,98713,"PAPEETE","l10n_pf_city.res_city_pf_98713_papeete","company","True","base.pf","base.main_company","Chant Jimmy",,"True",,,,,,,,,
"res_partner_368076","rers_partner_industry_c23","c/o AIR MOOREA","BP 6019",40864263,87813030,98702,"FAAA","l10n_pf_city.res_city_pf_98702_faaa","company","True","base.pf","base.main_company","RHL","christophe.fournier@airarchipels.pf","True","l10n_fr_naf_ape.naf_51_10Z","l10n_fr_naf_ape.naf_51_10Z",,,,,,,
"res_partner_382192","rers_partner_industry_c25",,"BP 1673",40460372,,98713,"PAPEETE","l10n_pf_city.res_city_pf_98713_papeete","company","True","base.pf","base.main_company","THT",,"True","l10n_fr_naf_ape.naf_51_10Z","l10n_fr_naf_ape.naf_51_10Z",,,,,,,
"res_partner_387746","rers_partner_industry_c23",,"BP 9360 MOTU UTA",,87780669,98715,"PAPEETE","l10n_pf_city.res_city_pf_98715_papeete","company","True","base.pf","base.main_company","Lucas Charles Matahi",,"True",,,,,,,,,
"res_partner_39800","rers_partner_industry_c23","BP 850","Service Comptabilité",40505310,,98713,"PAPEETE","l10n_pf_city.res_city_pf_98713_papeete","company","True","base.pf","base.main_company","POPE","etepava@robertwan.com","True",,,,,,,,,
"res_partner_401794","rers_partner_industry_c23",,"BP 1380",40427857,87779418,98703,"PUNAAUIA","l10n_pf_city.res_city_pf_98703_punaauia","company","True","base.pf","base.main_company","Nadjarian Heimarama",,"True",,,,,,,,,
