id,name,parent_id/id
res_partner_category_ape_0111z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",res_partner_category_ape
res_partner_category_ape_0112z,Culture du riz,res_partner_category_ape
res_partner_category_ape_0113z,"Culture de légumes, de melons, de racines et de tubercules",res_partner_category_ape
res_partner_category_ape_0114z,Culture de la canne à sucre,res_partner_category_ape
res_partner_category_ape_0115z,Culture du tabac,res_partner_category_ape
res_partner_category_ape_0116z,Culture de plantes à fibres,res_partner_category_ape
res_partner_category_ape_0119z,Autres cultures non permanentes,res_partner_category_ape
res_partner_category_ape_0121z,Culture de la vigne,res_partner_category_ape
res_partner_category_ape_0122z,Culture de fruits tropicaux et subtropicaux,res_partner_category_ape
res_partner_category_ape_0123z,Culture d'agrumes,res_partner_category_ape
res_partner_category_ape_0124z,Culture de fruits à pépins et à noyau,res_partner_category_ape
res_partner_category_ape_0125z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,res_partner_category_ape
res_partner_category_ape_0126z,Culture de fruits oléagineux,res_partner_category_ape
res_partner_category_ape_0127z,Culture de plantes à boissons,res_partner_category_ape
res_partner_category_ape_0128z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",res_partner_category_ape
res_partner_category_ape_0129z,Autres cultures permanentes,res_partner_category_ape
res_partner_category_ape_0130z,Reproduction de plantes,res_partner_category_ape
res_partner_category_ape_0141z,Élevage de vaches laitières,res_partner_category_ape
res_partner_category_ape_0142z,Élevage d'autres bovins et de buffles,res_partner_category_ape
res_partner_category_ape_0143z,Élevage de chevaux et d'autres équidés,res_partner_category_ape
res_partner_category_ape_0144z,Élevage de chameaux et d'autres camélidés,res_partner_category_ape
res_partner_category_ape_0145z,Élevage d'ovins et de caprins,res_partner_category_ape
res_partner_category_ape_0146z,Élevage de porcins,res_partner_category_ape
res_partner_category_ape_0147z,Élevage de volailles,res_partner_category_ape
res_partner_category_ape_0149z,Élevage d'autres animaux,res_partner_category_ape
res_partner_category_ape_0150z,Culture et élevage associés,res_partner_category_ape
res_partner_category_ape_0161z,Activités de soutien aux cultures,res_partner_category_ape
res_partner_category_ape_0162z,Activités de soutien à la production animale,res_partner_category_ape
res_partner_category_ape_0163z,Traitement primaire des récoltes,res_partner_category_ape
res_partner_category_ape_0164z,Traitement des semences,res_partner_category_ape
res_partner_category_ape_0170z,"Chasse, piégeage et services annexes",res_partner_category_ape
res_partner_category_ape_0210z,Sylviculture et autres activités forestières,res_partner_category_ape
res_partner_category_ape_0220z,Exploitation forestière,res_partner_category_ape
res_partner_category_ape_0230z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,res_partner_category_ape
res_partner_category_ape_0240z,Services de soutien à l'exploitation forestière,res_partner_category_ape
res_partner_category_ape_0311z,Pêche en mer,res_partner_category_ape
res_partner_category_ape_0312z,Pêche en eau douce,res_partner_category_ape
res_partner_category_ape_0321z,Aquaculture en mer,res_partner_category_ape
