id,name
os_fp_rte_sync.res_partner_employee_quantity_range_01,1 à 2 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_02,3 à 4 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_03,5 à 9 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_04,10 à 19 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_05,20 à 49 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_06,50 à 99 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_07,100 à 199 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_08,200 à 499 personnes
os_fp_rte_sync.res_partner_employee_quantity_range_09,500 personnes et plus
os_fp_rte_sync.res_partner_employee_quantity_range_10,Aucune personne
